epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,16402.3,1.3296,0.80109,0.00154,0.65818,0.5526,0.5821,0.39401,1.24427,0.90154,0.00235,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16772.5,1.33623,0.80613,0.00154,0.65645,0.54962,0.57166,0.38941,1.23999,0.92017,0.00232,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,17142.9,1.33478,0.80037,0.00153,0.64866,0.54706,0.57306,0.39036,1.23809,0.92863,0.00232,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17512.1,1.33218,0.78806,0.00151,0.63839,0.55225,0.57031,0.38861,1.24022,0.92064,0.00233,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17883.5,1.32331,0.78206,0.00152,0.64831,0.54004,0.5636,0.3844,1.24044,0.92773,0.00234,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,18253.3,1.31746,0.78449,0.00151,0.64935,0.53364,0.56613,0.38293,1.2511,0.92627,0.00237,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,18624.8,1.33547,0.7817,0.0015,0.63811,0.55783,0.56718,0.38498,1.23925,0.91886,0.00233,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,19002.3,1.31718,0.76997,0.00153,0.64736,0.54906,0.57022,0.38708,1.2474,0.91416,0.00234,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,19381.4,1.32874,0.77465,0.0015,0.63643,0.55367,0.56874,0.38723,1.2491,0.92202,0.00235,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19762.2,1.32397,0.76908,0.00149,0.65329,0.54635,0.57148,0.38793,1.24765,0.92852,0.00235,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,20143.2,1.29962,0.75874,0.00148,0.66355,0.5415,0.56689,0.38466,1.24662,0.93477,0.00234,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
