epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,13071.1,1.49472,1.01846,0.00176,0.60579,0.50251,0.5252,0.34792,1.3199,1.0063,0.00252,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13350.7,1.48159,1.01057,0.00177,0.60234,0.50375,0.52178,0.34701,1.31428,1.0086,0.00251,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13625.6,1.47765,1.01371,0.00177,0.61813,0.50872,0.52767,0.34744,1.32645,1.0045,0.00254,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13901.3,1.49757,1.01475,0.00175,0.61946,0.49725,0.52248,0.34628,1.31382,1.00666,0.00249,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14178,1.47741,1.0016,0.00179,0.61811,0.49837,0.52649,0.34811,1.3251,1.00749,0.00252,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14455.2,1.49107,1.00938,0.00176,0.62833,0.506,0.52543,0.35038,1.3097,1.00878,0.00248,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14732.9,1.48973,1.00394,0.00175,0.61886,0.49715,0.52833,0.35034,1.31123,1.00216,0.00249,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15010.3,1.46469,0.99387,0.00174,0.61767,0.49643,0.52796,0.34899,1.31424,0.9977,0.0025,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15285.6,1.46838,0.98637,0.00175,0.62088,0.50528,0.52721,0.35051,1.31845,0.99603,0.0025,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15562.6,1.45848,0.98244,0.00174,0.643,0.49481,0.53008,0.35147,1.31262,0.99844,0.00249,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15840.2,1.46872,0.9851,0.00175,0.6028,0.50585,0.52592,0.34979,1.3077,0.99212,0.00247,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16116.5,1.46568,0.9847,0.00172,0.61019,0.51024,0.52791,0.35155,1.30448,1.00043,0.00246,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16392.8,1.46326,0.99136,0.00173,0.61141,0.50815,0.52927,0.35139,1.30593,0.99767,0.00246,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16670.3,1.44241,0.95864,0.00174,0.61606,0.51152,0.52959,0.35192,1.30826,0.99155,0.00248,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16949.2,1.44934,0.96679,0.00172,0.59921,0.51367,0.52617,0.34772,1.31429,0.99603,0.0025,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17227.8,1.4683,0.98094,0.00172,0.61617,0.507,0.52786,0.35202,1.30808,0.99834,0.00248,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17506.4,1.43893,0.95922,0.00172,0.60461,0.51486,0.52747,0.35052,1.3076,0.99256,0.00246,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17784.4,1.45713,0.96552,0.00173,0.61795,0.50475,0.52668,0.34953,1.30756,0.98816,0.00246,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18061.8,1.44775,0.95637,0.00172,0.62456,0.50466,0.52891,0.35103,1.30935,0.99937,0.00247,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18339.4,1.44523,0.94711,0.0017,0.61749,0.5041,0.52771,0.35255,1.30428,0.99216,0.00245,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18615.3,1.43919,0.94645,0.0017,0.62469,0.50614,0.5298,0.35247,1.3069,0.9939,0.00245,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18892,1.42968,0.93897,0.0017,0.61525,0.51297,0.52812,0.35254,1.30427,1.00111,0.00245,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19169.8,1.44231,0.95262,0.00169,0.62271,0.51213,0.52855,0.35256,1.30679,0.99043,0.00247,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19446.7,1.43046,0.93841,0.00174,0.62618,0.5115,0.52892,0.35344,1.30586,1.00035,0.00248,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19723.2,1.44068,0.9446,0.00169,0.62586,0.50414,0.52931,0.35482,1.30343,0.99859,0.00246,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20001.2,1.45032,0.93642,0.00168,0.62886,0.51176,0.52858,0.35347,1.3051,0.98792,0.00246,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20279.6,1.443,0.93855,0.0017,0.62231,0.50977,0.53136,0.35526,1.30221,0.99461,0.00244,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
